date,hours,plays
2015-06-05,0.210,16
2015-06-06,1.726,33
2015-06-07,4.569,78
2015-06-08,3.416,59
2015-06-09,2.374,47
2015-06-10,1.742,38
2015-06-11,2.345,45
2015-06-12,1.108,20
2015-06-13,2.210,41
2015-06-14,5.142,98
2015-06-15,4.561,88
2015-06-16,4.703,84
2015-06-17,2.415,50
2015-06-18,1.407,29
2015-06-29,0.020,6
2015-07-02,0.854,18
2015-07-03,1.092,19
2015-07-04,0.946,22
2015-07-25,2.168,47
2015-07-26,2.387,47
2015-07-27,0.475,10
2015-07-31,3.279,52
2015-08-01,2.630,49
2015-08-02,0.960,32
2015-08-03,0.198,8
2015-08-04,1.951,41
2015-08-05,1.486,29
2015-08-06,0.295,8
2015-08-07,1.593,38
2015-08-08,0.210,19
2015-08-09,0.357,10
2015-08-12,0.912,25
2015-08-13,3.310,121
2015-08-14,2.466,56
2015-08-15,0.778,20
2015-08-17,1.990,54
2015-08-18,0.976,20
2015-08-20,0.042,2
2015-08-21,0.510,9
2015-08-23,0.528,16
2015-08-25,0.104,4
2015-08-26,0.326,13
2015-08-28,0.102,4
2015-08-29,2.408,81
2015-08-30,1.459,54
2015-08-31,0.094,7
2015-09-01,0.105,1
2015-09-02,1.663,152
2015-09-03,1.985,155
2015-09-04,1.941,71
2015-09-05,3.642,119
2015-09-06,7.668,297
2015-09-07,3.836,161
2015-09-08,2.692,135
2015-09-09,1.459,155
2015-09-10,0.865,31
2015-09-11,0.594,58
2015-09-12,3.619,77
2015-09-13,3.111,106
2015-09-14,1.166,43
2015-09-15,0.320,8
2015-09-16,0.946,30
2015-09-17,0.718,81
2015-09-18,1.938,137
2015-09-19,2.854,98
2015-09-20,1.500,62
2015-09-21,0.794,40
2015-09-22,2.042,85
2015-09-23,4.652,101
2015-09-24,1.595,37
2015-09-25,1.797,87
2015-09-26,0.531,49
2015-09-27,0.052,8
2015-09-28,1.904,296
2015-09-29,3.724,171
2015-09-30,1.090,66
2015-10-01,0.243,11
2015-10-02,0.013,3
2015-10-03,2.832,178
2015-10-04,1.830,44
2015-10-05,0.488,12
2015-10-06,0.810,71
2015-10-07,2.773,334
2015-10-08,3.846,206
2015-10-09,2.160,154
2015-10-10,1.624,86
2015-10-11,0.424,28
2015-10-12,2.917,333
2015-10-13,2.611,191
2015-10-14,1.867,61
2015-10-15,2.144,54
2015-10-16,2.471,140
2015-10-17,2.902,110
2015-10-18,1.828,58
2015-10-19,0.812,38
2015-10-20,3.240,93
2015-10-21,0.754,31
2015-10-22,1.479,98
2015-10-23,1.344,61
2015-10-24,2.915,157
2015-10-25,0.914,76
2015-10-26,1.229,26
2015-10-27,4.339,136
2015-10-28,0.672,72
2015-10-29,3.675,207
2015-10-30,2.540,90
2015-10-31,2.139,56
2015-11-01,0.843,47
2015-11-02,0.049,20
2015-11-03,1.238,69
2015-11-04,1.508,56
2015-11-05,0.398,50
2015-11-06,2.107,55
2015-11-07,2.969,84
2015-11-08,2.070,148
2015-11-09,0.609,41
2015-11-10,1.841,185
2015-11-11,0.605,39
2015-11-12,1.031,96
2015-11-13,4.594,170
2015-11-14,0.834,40
2015-11-15,1.482,142
2015-11-16,1.955,65
2015-11-17,3.647,98
2015-11-18,0.864,27
2015-11-19,3.704,99
2015-11-20,0.732,35
2015-11-21,0.820,36
2015-11-22,3.987,159
2015-11-23,3.621,171
2015-11-24,1.923,97
2015-11-25,0.830,26
2015-11-26,1.327,37
2015-11-27,1.549,33
2015-11-28,2.862,101
2015-11-29,3.848,112
2015-11-30,0.671,17
2015-12-01,2.558,99
2015-12-02,2.039,49
2015-12-03,0.456,14
2015-12-04,0.328,12
2015-12-05,1.143,23
2015-12-06,3.055,74
2015-12-07,2.877,126
2015-12-08,1.672,34
2015-12-09,2.396,78
2015-12-10,1.888,84
2015-12-12,0.836,29
2015-12-13,4.149,110
2015-12-14,0.372,8
2015-12-15,0.807,16
2015-12-17,0.152,11
2015-12-18,0.563,22
2015-12-19,1.888,86
2015-12-20,0.588,12
2015-12-21,0.818,25
2015-12-22,0.430,12
2015-12-23,0.235,13
2015-12-24,3.336,94
2015-12-25,2.747,66
2015-12-26,2.435,59
2015-12-27,0.998,20
2015-12-29,0.017,5
2015-12-30,0.893,29
