date,hours,plays
2024-03-15,2.144,72
2024-03-16,3.581,103
2024-03-17,1.542,33
2024-03-18,3.355,149
2024-03-19,5.116,122
2024-03-20,3.246,85
2024-03-21,5.987,182
2024-03-22,6.756,143
2024-03-23,0.009,1
2024-03-24,2.218,127
2024-03-25,7.205,131
2024-03-26,5.382,142
2024-03-27,5.671,128
2024-03-28,5.863,174
2024-03-29,4.012,90
2024-03-30,1.045,75
2024-03-31,0.706,13
2024-04-01,1.257,58
2024-04-02,3.201,84
2024-04-03,5.529,139
2024-04-04,5.367,131
2024-04-05,0.191,5
2024-04-06,0.876,86
2024-04-07,2.010,82
2024-04-08,7.758,224
2024-04-09,2.550,61
2024-04-10,3.648,105
2024-04-11,2.371,78
2024-04-12,2.299,75
2024-04-13,1.483,60
2024-04-14,6.472,226
2024-04-15,6.360,135
2024-04-16,3.874,91
2024-04-17,4.016,96
2024-04-18,0.809,18
2024-04-20,0.623,31
2024-04-21,1.424,59
2024-04-22,1.907,44
2024-04-23,3.144,59
2024-04-24,3.925,95
2024-04-25,6.131,105
2024-04-26,4.345,88
2024-04-27,1.817,55
2024-04-28,1.705,95
2024-04-29,3.567,84
2024-04-30,4.850,130
2024-05-01,4.223,112
2024-05-02,4.916,157
2024-05-03,5.639,131
2024-05-04,4.116,177
2024-05-05,2.606,125
2024-05-06,6.928,217
2024-05-07,4.909,123
2024-05-08,8.887,253
2024-05-09,5.724,226
2024-05-10,4.926,180
2024-05-11,3.021,152
2024-05-12,1.661,47
2024-05-13,2.395,96
2024-05-14,2.593,70
2024-05-15,7.223,196
2024-05-16,3.279,64
2024-05-17,0.128,16
2024-05-18,0.441,16
2024-05-19,0.812,54
2024-05-20,6.820,203
2024-05-21,6.512,183
2024-05-22,5.834,170
2024-05-23,5.745,247
2024-05-24,3.887,195
2024-05-25,2.875,126
2024-05-26,3.498,201
2024-05-27,3.329,104
2024-05-28,3.756,102
2024-05-29,3.194,93
2024-05-30,1.174,68
2024-05-31,3.814,88
2024-06-01,1.935,73
2024-06-02,2.213,116
2024-06-03,2.431,59
2024-06-04,3.755,110
2024-06-05,5.904,172
2024-06-06,6.799,158
2024-06-07,5.319,124
2024-06-08,0.185,9
2024-06-09,1.955,81
2024-06-10,6.447,151
2024-06-11,8.392,178
2024-06-12,5.040,113
2024-06-13,4.756,107
2024-06-14,7.248,183
2024-06-15,2.259,99
2024-06-16,2.486,126
2024-06-17,3.467,76
2024-06-18,1.991,41
2024-06-19,1.470,35
2024-06-20,3.901,101
2024-06-21,2.278,57
2024-06-22,0.483,52
2024-06-23,1.908,112
2024-06-24,4.330,108
2024-06-25,4.344,94
2024-06-26,6.117,119
2024-06-27,4.881,147
2024-06-28,1.514,42
2024-06-29,2.541,87
2024-06-30,0.157,3
2024-07-01,1.486,69
2024-07-02,2.239,89
2024-07-03,3.294,85
2024-07-04,0.953,33
2024-07-05,1.947,99
2024-07-06,2.613,160
2024-07-07,3.781,212
2024-07-08,1.923,148
2024-07-09,0.437,17
2024-07-10,1.373,284
2024-07-11,0.382,15
2024-07-12,0.240,10
2024-07-13,0.725,20
2024-07-14,3.173,257
2024-07-15,1.854,222
2024-07-16,0.746,49
2024-07-17,0.457,13
2024-07-18,0.424,10
2024-07-19,0.410,19
2024-07-20,0.366,12
2024-07-21,0.423,29
2024-07-22,3.092,123
2024-07-23,0.397,9
2024-07-24,0.010,3
2024-07-25,0.519,22
2024-07-26,2.794,98
2024-07-27,6.515,270
2024-07-28,0.288,6
2024-07-29,3.198,67
2024-07-30,2.382,116
2024-07-31,0.446,17
